ID,이름,설명,스토리단계,가격,맵ID,레이어
RN01A,포근한 나무벽지,포근하고 향긋한 나무향이 나는 것 같다,MS01B,400,MN04,0
RN01B,포근한 푹신 러그,포근하고 바닥에 눕고 싶어진다,MS01B,400,MN04,1
RN01C,포근한 벽난로,포근하고 따뜻한 벽난로!,MS01B,1500,MN04,2
RN01D,포근한 선반,포근하고 쿠키가 숨겨져 있을 것 같은 선반,MS01B,500,MN04,3
RN01E,포근한 흔들의자,포근하게 흔들거리다가 잠들 것 같다,MS01B,1200,MN04,4
RN01F,포근한 테이블,포근하고 맛있는 티세트가 함께하는 테이블,MS01B,800,MN04,5
RN01G,포근한 실뭉치,포근하고 만지고 싶은 실뭉치,MS01B,400,MN04,6
RN01H,포근한 화분,포근하고 화사함을 선사하는 화분,MS01B,300,MN04,7
RN02A,겨울 캠핑 숲 벽지,겨울의 숲 한가운데 온 것  같다.,MS01B,600,MN04,0
RN02B,겨울 캠핑 뽀드득 눈,겨울의 뽀얀 눈을 밟는 것 같다.,MS01B,400,MN04,1
RN02C,겨울 캠핑 눈 결정,하늘 하늘 내린는 눈의 결정,MS01B,200,MN04,2
RN02D,겨울 캠핑 눈 송이,하늘 하늘 내리는 눈 송이,MS01B,200,MN04,3
RN02E,겨울 캠핑 장작 더미,모닥불을 위해 쌓여진 장작,MS01B,400,MN04,4
RN02F,겨울 캠핑 삼각 텐트,겨울 속에서 작고 아담한 텐트,MS01B,1400,MN04,5
RN02G,겨울 캠핑 그루터기,겨울의 멋진 나무꾼의 증거,MS01B,800,MN04,6
RN02H,겨울 캠핑 모닥불,겨울 속에서 나를 따뜻하게 해주는 모닥불,MS01B,1000,MN04,7
RN03A,과자집의 흐르는 잼 벽지,달콤한 잼이 흐르고 있다.,MS01B,600,MN04,0
RN03B,과자집의 초콜렛 바닥,달콤하지만 딱딱하고 안전하다.,MS01B,300,MN04,1
RN03C,과자집의 활짝 초코 창문,혹시나 떼어먹다가 걸리지 말자,MS01B,800,MN04,2
RN03D,과자집의 마카롱 선반,선반은 떼어먹으면 안돼!,MS01B,600,MN04,3
RN03E,과자집의 슈크림 쿠션,누울때마다 슈크림이 새어나온다!,MS01B,1100,MN04,4
RN03F,과자집의 솜사탕 침대,후후 불면은 구멍이 뚫리지 않으니 안심,MS01B,1500,MN04,5
RN03G,과자집의 쿠키 테이블,핫초코를 마시며 테이블도 떼어먹으면 안되겠지?,MS01B,700,MN04,6
RN03H,과자집의 4단 케이크,멋들어진 케이크가 무려 4단!!,MS01B,800,MN04,7
RN04A,피크닉에서 맑은 날씨 벽지,맑은 하늘이 보는 사람까지 시원해진다.,MS01B,500,MN04,0
RN04B,피크닉 푸른 잔디 바닥,푸른 잔디밭은 한번 누워보고 싶어진다.,MS01B,600,MN04,1
RN04C,피크닉 푸른 나무,우뚝 솟은 나무들,MS01B,400,MN04,2
RN04D,피크닉 풍차,바람개비 처럼 후 불어도 날개가 돌아가지 않아!,MS01B,900,MN04,3
RN04E,피크닉 돗자리,돗자리에 누워서 뒹굴 뒹굴,MS01B,700,MN04,4
RN04F,피크닉 우뚝 해바라기,키큰 해바라기는 해만 쳐다본다.,MS01B,800,MN04,5
RN04G,피크닉 바구니 세트,바구니 속에는 무엇이 있을까?,MS01B,400,MN04,6
RN04H,피크닉 나무 벤치,벤치에 앉아서 멍 때려보자!,MS01B,700,MN04,7
RN05A,꽃집의 기본 벽지,꽃집에서 사용하는 기본 벽지,MS01B,200,MN04,0
RN05B,꽃집의 기본 바닥,꽃집에서 사용하는 기본 바닥,MS01B,200,MN04,1
RN05C,꽃집의 맑은 하늘 창문,화분이 잘 어우러진 맑은 하늘의 창문,MS01B,900,MN04,2
RN05D,꽃집의선반,물뿌리개와 화분을 올려두는 선반!,MS01B,800,MN04,3
RN05E,꽃집의 꽃바구니 테이블,화려한 꽃바구니가 한가득~,MS01B,1100,MN04,4
RN05F,꽃집의 싱크대,예쁜 꽃을 만지기 전 후로 손도 깨끗이!,MS01B,1000,MN04,5
RN05G,꽃집의 화분,공기까지 맑아지는 기분!,MS01B,700,MN04,6
RN05H,꽃집의 의자,주변 화분들 덕에 눈까지 즐겁다!,MS01B,900,MN04,7
RN06A,밤의 숲속 나무 벽지,신비로운 느낌의 숲속,MS01B,1100,MN04,0
RN06B,밤의 숲속 연못,신비로운 느낌의 연못,MS01B,1100,MN04,1
RN06C,밤의 숲 우뚝 나무,신비롭고 우뚝 솟은 나무,MS01B,200,MN04,2
RN06D,밤의 숲 풍성 나무,신비롭고 풍성한 나무,MS01B,200,MN04,3
RN06E,밤의 숲의 돌,신비로운 느낌의 돌,MS01B,400,MN04,4
RN06F,밤의 숲의 나무,신비로운 느낌의 나무,MS01B,500,MN04,5
RN06G,밤의 숲의 반딧불이,신비로운 숲속을 밝혀주는 반딧불이들,MS01B,500,MN04,6
RN07A,베이커리 벽지,따뜻한 분위기의 베이커리 벽지,MS01B,200,MN04,0
RN07B,베이커리 바닥,따뜻한 분위기의 베이커리 바닥,MS01B,200,MN04,1
RN07C,베이커리의 전등,따뜻한 분위기의 베이커리의 작은 전등,MS01B,500,MN04,2
RN07D,베이커리 풍성 선반,머그컵과 화분들이 어우러진 선반,MS01B,1200,MN04,3
RN07E,베이커리 달콤 전시 메뉴,뭘 먹을까? 눈이 돌아가는 빵들,MS01B,2000,MN04,4
RN07F,베이커리 초코 3단 케이크,침이 꼴깍 삼켜지는 초코 3단 케이크!,MS01B,1300,MN04,5
RN07G,베이리 따끈 빵,보기만 해도 포근해지는 빵 모음,MS01B,1600,MN04,6
RN07H,베이커리 마카롱 티 세트,어떤 걸 골라 먹을까? 고민되는 마카롱 세트,MS01B,1500,MN04,7
RN08A,타오르는 사막 벽지,보기만 해도 더워지는 사막의 풍경,MS01B,600,MN04,0
RN08B,타오르는 사막 바닥,발이 푹푹 빠질 것 같은 사막!,MS01B,600,MN04,1
RN08C,타오르는 사막의 태양,덥다 더워!,MS01B,300,MN04,2
RN08D,타오르는 사막의 팔콘 무리,하늘에서 내려다보는 팔콘 무리들,MS01B,150,MN04,3
RN08E,타오르는 사막의 우물,사막의 유일한 오아시스 같은 존재,MS01B,1500,MN04,4
RN08F,타오르는 사막의 이정표,사막에서 길을 잃어버리면 큰일나!,MS01B,1200,MN04,5
RN08G,타오르는 사막의 선인장,선인장은 어떻게 사막에서 잘 살아가는 걸까?,MS01B,700,MN04,6
RN08H,타오르는 사막의 해골,사막의 무시무시한 해골과 회전초,MS01B,800,MN04,7
RN09A,탐정의 서재 책꽂이,많은 책들이 꽂혀있다. 만화책은 없을까?,MS01B,1000,MN04,0
RN09B,탐정의 서재 카펫,부드러울 것 같은 카펫. 카펫마저 엄근진,MS01B,800,MN04,1
RN09C,탐정의 서재 액자,분위기 있는 배 그림이 걸려있다. 누구 배야?,MS01B,700,MN04,2
RN09D,탐정의 서재 모자,탐정의 모자와 알 수 없는 키가 걸려있다.,MS01B,500,MN04,3
RN09E,탐정의 서재 책상,탐정의 깔끔한 책상. 깐깐한 성격이 드러난다,MS01B,1000,MN04,4
RN09F,탐정의 서재 소파,"깔끔한 색상의 소파. 소파 뒤에 옷을 안 걸어 뒀네? 국룰인데,,",MS01B,1200,MN04,5
RN09G,탐정의 서재 책더미,보란듯이 쌓여진 책더미. 책더미 마저 정돈 해두다니!,MS01B,800,MN04,6
RN09H,탐정의 서재 테이블,깔끔하게 화분만 올려져 있다. 유일한 마음의 안식?,MS01B,600,MN04,7
RN10A,일본풍 벽지,나무의 프레임과 단아한 색이 인상적이다.,MS01B,800,MN04,0
RN10B,일본풍 바닥,다다미 바닥덕에 정숙한 기분,MS01B,800,MN04,1
RN10C,일본풍 풍경,벚꽃이 아름답게 떨어지는 아름다운 풍경!,MS01B,1400,MN04,2
RN10D,일본풍 창문,깔끔한 창문이 멋져!,MS01B,800,MN04,3
RN10E,일본풍 전등,전등이 화르르 화르르,MS01B,900,MN04,4
RN10F,일본풍 다도,코타츠 속에 따뜻하게 들어가 마시는 차 한잔!,MS01B,1200,MN04,7
RN10G,일본풍 방석,무릎을 꿇고 앉아야겠지?,MS01B,500,MN04,6
RN10H,일본풍 서랍,일본풍 서랍과 테이블,MS01B,1100,MN04,5
RN11A,중국풍 벽지,화려하게 천장에 붙어있는 풍등이 멋있어!,MS01B,800,MN04,0
RN11B,중국풍 카펫,빨간색을 참 좋아해,MS01B,800,MN04,1
RN11C,중국풍 발,샤르를 떨어질 것 같은 발,MS01B,500,MN04,7
RN11D,중국풍 화려한 창문,무늬가 너무 멋있어!,MS01B,900,MN04,2
RN11E,중국풍 테이블,분위기 있는 테이블이야!,MS01B,800,MN04,4
RN11F,중국풍 의자,마주보고 앉아볼까?,MS01B,1100,MN04,3
RN11G,중국풍 회전 테이블,테이블이 돈다 돌아,MS01B,900,MN04,5
RN11H,중국풍 항아리,잘못하다 깨지면 정말 혼날 것 같아!,MS01B,1200,MN04,6
RN12A,모던 카페 벽지,모던한 느낌의 벽지,MS01B,700,MN04,0
RN12B,모던 카페 바닥,모던하고 깔끔한 바닥,MS01B,700,MN04,1
RN12C,모던 카페 메뉴판,메뉴판에 그림만 그려놨네?,MS01B,1100,MN04,2
RN12D,모던 카페 창문,창문이 탁 트인게 좋아~,MS01B,800,MN04,3
RN12E,모던 카페 커피머신,한번만 직접 내려보면 안될까?,MS01B,1400,MN04,4
RN12F,모던 카페 테이블,테이블에 앉아 멍때리고 싶어,MS01B,900,MN04,5
RN12G,모던 카페 입간판,느낌 있는 입간판. 뭐라고 써 뒀을까?,MS01B,800,MN04,6
RN12H,모던 카페 파르페,달콤한 파르페 너무 먹고싶어!!,MS01B,600,MN04,7
RN13A,하늘 섬의 노을진 하늘,보라색 물든 하늘이 아름다워,MS01B,900,MN04,0
RN13B,하늘 섬의 구름 바닥,그래도 누워볼까?,MS01B,800,MN04,1
RN13C,하늘 섬의 아기 구름,얘들아 멀리 가지는 마!,MS01B,1000,MN04,2
RN13D,하늘 섬에 뜬 달,스위치를 끄면 달도 꺼질까?,MS01B,1100,MN04,3
RN13E,하늘 섬의 아기 별,엄마 찾는 아기 별,MS01B,900,MN04,6
RN13F,하늘 섬의 엄마 별,아기 찾는 엄마 별,MS01B,1200,MN04,7
RN13G,하늘 섬을 건너는 다리,조심 조심 건너보자~,MS01B,1400,MN04,5
RN13H,하늘 섬의 푹신 구름,잠이 와르르 쏟아질 것 같아,MS01B,1200,MN04,4
